Restaurant_Name,Restaurant_description,Location,Restaurant_type,recommended_dishes,famous_Cuisines,Cost_per_person,allergy_food_product,menu_without_allergy,menu_with_allergy,reviews
Mountain View,"""Mountain View is a mountaintop restaurant situated in Gatlinburg, Tennessee, boasting a rating of 4.8. With its panoramic mountain vistas and Southern-inspired menu, it's perfect for mountain dining and special occasions. Approximate cost for two is $180. Call +1865-8765432 for reservations.""","Gatlinburg, TN","Fine Dining, Special Occasion","Smoked Pork Ribs, Pecan Pie,Shrimp and Grits,Crawfish Boil,Buttermilk Biscuits,Shrimp Creole,Fried Chicken,Tex-Mex Fajitas,Maryland Crab Feast ","American, Southern",$180 ,"Dairy, Nuts","Smoked Pork Ribs, Shrimp and Grits, Crawfish Boil, Fried Chicken, Maryland Crab Feast","Smoked Pork Ribs, Pecan Pie,Shrimp and Grits,Crawfish Boil,Buttermilk Biscuits,Shrimp Creole,Fried Chicken,Tex-Mex Fajitas,Maryland Crab Feast ","""Mountain View offers breathtaking mountain vistas and delectable Southern cuisine. While the smoked pork ribs are tender, some diners mention limited reservations. Nonetheless, it's a cherished spot in Gatlinburg for mountain dining and special occasions."""
Riverside Tavern,"""Riverside Tavern is a riverside tavern located in Wilmington, North Carolina, with a rating of 4.6. Offering riverside views and hearty pub fare, it's perfect for riverside dining and casual gatherings. Approximate cost for two is $80. Call +1910-8765432 for reservations.""","Wilmington, NC","Casual Dining, Riverside Dining","Grilled Salmon,Barbecue Ribs,Grilled Vegetables,Cobb Salad,Key Lime Pie,Fried Catfish,Grilled Vegetables,Fish and Chips,Seafood Boil","American, Pub Fare",$80 ,"Dairy, Gluten","Grilled Salmon, Barbecue Ribs, Grilled Vegetables, Cobb Salad, Key Lime Pie, Fried Catfish, Fish and Chips, Seafood Boil






","Grilled Salmon,Barbecue Ribs,Grilled Vegetables,Cobb Salad,Key Lime Pie,Fried Catfish,Grilled Vegetables,Fish and Chips,Seafood Boil","""Riverside Tavern offers serene river views and delicious pub fare. While the fish and chips are crispy, some diners mention limited outdoor seating. Nonetheless, it's a top spot in Wilmington for riverside dining and casual gatherings."""
Summit Peak,"""Summit Peak is a mountaintop restaurant located in Boulder, Colorado, boasting a rating of 4.9. With its panoramic mountain views and farm-fresh cuisine, it's perfect for mountain dining and special occasions. Approximate cost for two is $150. Call +1303-8765432 for reservations.""","Boulder, CO","Fine Dining, Special Occasion","Bison Ribeye, Farm Salad,Prime Rib, Filet Mignon,Roast Turkey,Beef Wellington,Rack of Lamb,Lobster Thermidor","American, Farm-to-Table",$150 ,"Dairy, Nuts","Bison Ribeye, Farm Salad, Roast Turkey, Beef Wellington, Rack of Lamb, Lobster Thermidor","Bison Ribeye, Farm Salad,Prime Rib, Filet Mignon,Roast Turkey,Beef Wellington,Rack of Lamb,Lobster Thermidor","""Summit Peak offers breathtaking mountain vistas and delectable farm-to-table cuisine. While the bison ribeye is juicy, some diners mention limited reservations. Nonetheless, it's a cherished spot in Boulder for mountain dining and special occasions."""
Brews & Bites,"""Brews & Bites is a lively gastropub located in Portland, Oregon, boasting a rating of 4.7. With its extensive beer selection and gourmet pub fare, it's perfect for casual hangouts and craft beer enthusiasts. Approximate cost for two is $70. Call +1503-8765432 for reservations.""","Portland, OR","Casual Dining, Gastropub","Craft Beer Flight, Truffle Fries,Short Rib Poutine,Pork Belly Sliders,Shrimp and Grits,Gourmet Burgers,Chicken Waffle Sliders,Buttermilk Fried Chicken Sandwich","American, Gastropub",$70 ,"Gluten, Dairy","Craft Beer Flight, Truffle Fries, Pork Belly Sliders, Shrimp and Grits, Chicken Waffle Sliders, Buttermilk Fried Chicken Sandwich","Craft Beer Flight, Truffle Fries,Short Rib Poutine,Pork Belly Sliders,Shrimp and Grits,Gourmet Burgers,Chicken Waffle Sliders,Buttermilk Fried Chicken Sandwich","""Brews & Bites offers a vibrant atmosphere and gourmet pub fare. While the craft beer flight is diverse, some diners mention limited parking. Nonetheless, it's a top spot in Portland for casual hangouts and craft beer enthusiasts."""
ocial Lounge,"""Social Lounge is a vibrant lounge located in Miami, Florida, boasting a rating of 4.9. Known for its lively ambiance and creative cocktails, it's perfect for social gatherings and cocktail enthusiasts. Approximate cost for two is $100. Call +1305-8765432 for reservations.""","Miami, FL","Casual Dining, Lounge","Signature Cocktails, Loaded Nachos,Margaritta,Martini,Paloma,Fried Clamari,Sliders,Fish Tacos,Mozzarella Sticks,Baffalo Wings,Loaded Fries,BBQ pulled pork sliders","American, Creative Cocktails",$100 ,"Dairy, Gluten","Loaded Nachos, Paloma, Fried Calamari, Fish Tacos, Buffalo Wings, Loaded Fries","Signature Cocktails, Loaded Nachos,Margaritta,Martini,Paloma,Fried Clamari,Sliders,Fish Tacos,Mozzarella Sticks,Baffalo Wings,Loaded Fries,BBQ pulled pork sliders","""Social Lounge offers a lively atmosphere and creative cocktails. While the signature cocktails are refreshing, some diners mention limited seating. Nonetheless, it's a top choice in Miami for social gatherings and cocktail enthusiasts."""
Hangout Haven,"""Hangout Haven is a laid-back diner located in Austin, Texas, boasting a rating of 4.7. With its retro vibe and classic American eats, it's perfect for chill hangouts and comfort food lovers. Approximate cost for two is $50. Call +1512-8765432 for reservations.""","Austin, TX","Casual Dining, Retro Diner","Cheeseburger, Milkshake Combo,Chiken Submarine,Maccaroni and Cheese,Barbecue Ribs,Pancakes,Clam Chowder,Buffalo Wings,Fried Chicken","American, Classic",$50 ,"Dairy, Gluten","Chicken Submarine, Barbecue Ribs, Clam Chowder, Buffalo Wings, Fried Chicken","Cheeseburger, Milkshake Combo,Chiken Submarine,Maccaroni and Cheese,Barbecue Ribs,Pancakes,Clam Chowder,Buffalo Wings,Fried Chicken","""Hangout Haven offers a relaxed ambiance and classic American eats. While the cheeseburger is juicy, some diners mention limited parking. Nonetheless, it's a beloved spot in Austin for chill hangouts and comfort food lovers."""
Cheers Corner,"""Cheers Corner is a cozy neighborhood bar located in San Francisco, California, boasting a rating of 4.7. With its friendly vibe and craft cocktails, it's perfect for laid-back hangouts and cocktail enthusiasts. Approximate cost for two is $70. Call +1415-8765432 for reservations.""","San Francisco, CA","Casual Dining, Neighborhood Bar","Craft Cocktails, Loaded Fries,Seafood Fried Rice,Tropical Fruit Cocktail,Chicken Kottu,Chicken Biriyani,Chicken Nasi Goreng,Grilled Vegetable Skewers,Tandoori Chicken,Spicy Chicken Wings","American, Craft Cocktails",$70 ,"Gluten, Dairy","Craft Cocktails, Loaded Fries, Seafood Fried Rice, Tropical Fruit Cocktail, Grilled Vegetable Skewers, Tandoori Chicken, Spicy Chicken Wings","Craft Cocktails, Loaded Fries,Seafood Fried Rice,Tropical Fruit Cocktail,Chicken Kottu,Chicken Biriyani,Chicken Nasi Goreng,Grilled Vegetable Skewers,Tandoori Chicken,Spicy Chicken Wings","""Cheers Corner offers a welcoming ambiance and creative craft cocktails. While the loaded fries are tasty, some diners mention limited seating. Nonetheless, it's a cherished spot in San Francisco for laid-back hangouts and cocktail enthusiasts."""
Sri Lankan Spice House,"The Sri Lankan Spice House is a cozy eatery situated in Colombo, Sri Lanka, with a commendable rating of 4.8. Renowned for its authentic Sri Lankan dishes and warm ambiance, it's a go-to destination for locals and tourists alike. The approximate cost for two is 6000 Sri Lankan Rupees. For reservations, contact +9411-7654321.","Colombo, Sri Lanka","Casual Dining, Traditional Eatery","Hopper Varieties, Kottu Roti,Chicken Firend Rice, Vegetable Kottu, Egg Rotti,Chicken Nasi goreng,Egg Nasi Goreng,Chicken Kottu,Egg fried rice,Cashew Nut Salad,Seafood Fried Rice","Sri Lankan, Seafood, Spicy Cuisine",6000 Sri Lankan Rupees,"Shellfish, Nuts","Hopper Varieties, Kottu Roti,Chicken Firend Rice, Vegetable Kottu, Egg Rotti,Chicken Nasi goreng,Egg Nasi Goreng,Chicken Kottu,Egg fried rice","Hopper Varieties, Kottu Roti,Chicken Firend Rice, Vegetable Kottu, Egg Rotti,Chicken Nasi goreng,Egg Nasi Goreng,Chicken Kottu,Egg fried rice,Cashew Nut Salad,Seafood Fried Rice","The Sri Lankan Spice House delights patrons with its authentic Sri Lankan flavors and inviting ambiance. While the seafood curry is a standout dish, some guests note limited parking spaces. Nonetheless, it remains a beloved spot in Colombo for experiencing traditional Sri Lankan cuisine."
Island Spice,"Island Spice is a hidden gem nestled in the bustling city of Matara, Sri Lanka, with an impressive rating of 4.8. Offering a fusion of Sri Lankan and international flavors, it promises a culinary adventure for all palates. Cost for two is approximately 5200 Sri Lankan Rupees. Reserve your table by calling +9411-5432109.","Matara, Sri Lanka","Fusion Cuisine, Global Flavors","Rice and Curry, Sri Lankan Pizza,Sri Lankan chicken fried rice,Jaffna Crab Curry,Fish Cuttlets,Sri Lankan Fish Patties,Sri lankan Fish Biriyani,Pesto Pasta","Sri Lankan, International Fusion",5200 Sri Lankan Rupees,"Gluten, Dairy","Rice and Curry,Sri Lankan chicken fried rice,Jaffna Crab Curry,Sri lankan Fish Biriyani","Rice and Curry, Sri Lankan Pizza,Sri Lankan chicken fried rice,Jaffna Crab Curry,Fish Cuttlets,Sri Lankan Fish Patties,Sri lankan Fish Biriyani,Pesto Pasta","Island Spice captivates diners with its diverse menu and welcoming atmosphere. The Jaffna crab curry is a must-try, though some guests suggest making reservations in advance due to limited seating. Nevertheless, it remains a cherished dining spot in Matara for experiencing innovative Sri Lankan cuisine."
Tropical Taste,"Tropical Taste is a delightful eatery located in Negombo, Sri Lanka, boasting a rating of 4.5. Renowned for its tropical ambiance and delectable Sri Lankan delicacies, it's a haven for food enthusiasts. Approximate cost for two is 4800 Sri Lankan Rupees. For bookings, contact +9411-6543210.","Negombo, Sri Lanka","Coastal Dining, Flavor Haven","Seafood Platter, Wambatu Moju,Jaffna Prawn Curry,Fish Ambul Thiyal,Cuttlefish Curry,Devilled Prawns,Sri Lankan Fish Biriyani,Sri Lankan Fish Cutlets,Grilled Cuttlefish,Chicken Cashew curry,Wattalapam","Sri Lankan, Seafood Specialties",4800 Sri Lankan Rupees,"Shellfish, Nuts","Wambatu Moju, Fish Ambul Thiyal, Devilled Prawns, Sri Lankan Fish Biriyani, Sri Lankan Fish Cutlets, Chicken Cashew curry, Wattalapam","Seafood Platter, Wambatu Moju,Jaffna Prawn Curry,Fish Ambul Thiyal,Cuttlefish Curry,Devilled Prawns,Sri Lankan Fish Biriyani,Sri Lankan Fish Cutlets,Grilled Cuttlefish,Chicken Cashew curry,Wattalapam","Tropical Taste enchants diners with its tropical vibe and mouthwatering Sri Lankan dishes. The seafood platter is highly recommended, though some visitors mention occasional delays during busy periods. Nonetheless, it remains a sought-after destination in Negombo for experiencing authentic Sri Lankan cuisine."
Ceylon Spice House,"Ceylon Spice House is a family-owned restaurant situated in Galle, Sri Lanka, with a commendable rating of 4.7. Offering an extensive menu of traditional Sri Lankan fare, it promises an unforgettable dining experience. Approximate cost for two is 5000 Sri Lankan Rupees. Dial +9411-7654321 for table reservations.","Galle, Sri Lanka","Family Dining, Heritage","Rice and Curry, Crab Curry, Pol Sambol,Pineapple Chicken Skewers,Tuna Poke Bowl,Grilled Squid Salad,Grilled Fish Tacos with Mango Salsa,Grilled Scallops,Corn and Black bean salad,Jalapeno Poppers,Bannana Fritters","Sri Lankan, Seafood Cuisine",5000 Sri Lankan Rupees,"Gluten, Dairy","Crab Curry, Pol Sambol, Pineapple Chicken Skewers, Tuna Poke Bowl, Grilled Squid Salad, Grilled Fish Tacos with Mango Salsa, Grilled Scallops, Corn and Black bean salad, Jalapeno Poppers","Rice and Curry, Crab Curry, Pol Sambol,Pineapple Chicken Skewers,Tuna Poke Bowl,Grilled Squid Salad,Grilled Fish Tacos with Mango Salsa,Grilled Scallops,Corn and Black bean salad,Jalapeno Poppers,Bannana Fritters with ice cream","Ceylon Spice House impresses diners with its authentic Sri Lankan dishes and warm hospitality. The crab curry is particularly recommended, though some guests advise arriving early as it can get crowded during peak hours. Nevertheless, it remains a cherished spot in Galle for savoring Sri Lankan flavors."
Chill Spot,"Chill Spot is a laid-back hangout located in Mirissa, Sri Lanka, with a cozy rating of 4.5. Offering a relaxed atmosphere and a menu of tasty bites, it's ideal for casual gatherings and friendly meetups. Cost for two is approximately 4000 Sri Lankan Rupees. For table reservations, dial +9411-8765432.","Mirissa, Sri Lanka","Casual Dining, Relaxed Vibes","Nachos, Tropical Cocktails,Grilled Seafood Platter,Burittos,Pineapple Chicken Skewers,Garlic Butter Grilled Shrimp,Roasted Vegetable Medley,Mexican Street Corn","Seafood, International",4000 Sri Lankan Rupees,"Dairy, Nuts","Nachos, Grilled Seafood Platter, Burritos, Pineapple Chicken Skewers, Garlic Butter Grilled Shrimp, Roasted Vegetable Medley, Mexican Street Corn","Nachos, Tropical Cocktails,Grilled Seafood Platter,Burittos,Pineapple Chicken Skewers,Garlic Butter Grilled Shrimp,Roasted Vegetable Medley,Mexican Street Corn","Chill Spot invites guests to unwind and enjoy its laid-back ambiance and delicious offerings. The grilled seafood platter is highly recommended, though some visitors suggest arriving early to secure a beachside table. Nonetheless, it remains a favorite hangout spot in Mirissa for relaxed gatherings."
Romantic Rendezvous,"Romantic Rendezvous is an intimate dining spot nestled in Galle, Sri Lanka, with an impressive rating of 4.9. Featuring candlelit tables and a serene ambiance, it's perfect for romantic dinners and special occasions. Approximate cost for two is 7000 Sri Lankan Rupees. Book your table in advance by calling +9411-9876543.","Galle, Sri Lanka","Intimate Dining, Special Occasion","Tuna Tataki, Sunset Sorbet,Lobster Thermidor,Tuna Tataki,Sunset Sorbet,Grilled Chicken,Grilled Corn on the cob,Thai Basil Tofu Stir Fry,Spicy Chicken,Grilled Salmon Wings,Seasame Chicken","Seafood, Fusion Cuisine",7000 Sri Lankan Rupees,"Gluten, Shellfish","Seasame Chicken,Spicy Chicken,Grilled Chicken,Grilled Corn on the cob,Thai Basil Tofu Stir Fry","Tuna Tataki, Sunset Sorbet,Lobster Thermidor,Tuna Tataki,Sunset Sorbet,Grilled Chicken,Grilled Corn on the cob,Thai Basil Tofu Stir Fry,Spicy Chicken,Grilled Salmon Wings,Seasame Chicken","Romantic Rendezvous captivates couples with its intimate setting and delectable cuisine. The lobster thermidor is a highlight, though some guests recommend making reservations well in advance for a private table. Nevertheless, it remains a cherished spot for romantic rendezvous in Galle."
Friends' Retreat,"Friends' Retreat is a lively restaurant located in Kandy, Sri Lanka, boasting a rating of 4.6. Designed for casual gatherings and friendly get-togethers, it offers a diverse menu of Sri Lankan favorites and international delights. Cost for two is approximately 4500 Sri Lankan Rupees. Reserve your spot by calling +9411-8765432.","Kandy, Sri Lanka","Casual Dining, Social Hangout","Mix Grill Platter, Kottu Roti,Mix Grill Platter,Kottu Roti,Chilli Cheese Fries,Vegetable Kottu,Malay Pickle,Paratha,Pittu,Kiribath,Tandoori Chicken, Chicken Stay,Grilled Vegetable Skewers","Sri Lankan, International",4500 Sri Lankan Rupees,"Dairy, Shellfish","Kottu Roti,Vegetable Kottu,Chicken Kottu,Malay Pickle,Paratha,Kiribath,Tandoori Chicken,Chicken Stay,Grilled Vegetable Skewers","Mix Grill Platter, Kottu Roti,Mix Grill Platter,Kottu Roti,Chilli Cheese Fries,Vegetable Kottu,Malay Pickle,Paratha,Pittu,Kiribath,Tandoori Chicken, Chicken Stay,Grilled Vegetable Skewers","Friends' Retreat charms diners with its vibrant atmosphere and eclectic menu. The mix grill platter is highly recommended, though some guests suggest arriving early to secure a cozy corner. Nonetheless, it remains a popular spot for relaxed gatherings in Kandy."
Family Feast,"Family Feast is a welcoming eatery nestled in Negombo, Sri Lanka, with a remarkable rating of 4.7. Catering to family gatherings and celebrations, it offers an array of comforting Sri Lankan dishes in a cozy atmosphere. Approximate cost for two is 5000 Sri Lankan Rupees. Dial +9411-7654321 for table bookings.","Negombo, Sri Lanka","Family Dining, Celebration Hub","Rice and Curry Platter,Lobster Thermidor,Fish Ambul Thiyal,Prawn Curry,Stuffed Squid,Jumbo prawn cocktail,Chicken Biriyani,Lamprais,Chicken Cashew Curry,Stuffed Squid,Watalapam ","Sri Lankan, Comfort Food",5000 Sri Lankan Rupees,"Gluten, Nuts","Rice and Curry Platter,Lobster Thermidor,Fish Ambul Thiyal,Prawn Curry,Stuffed Squid,Jumbo prawn cocktail,Stuffed Squid,Chicken Biriyani,Lamprai ","Rice and Curry Platter,Lobster Thermidor,Fish Ambul Thiyal,Prawn Curry,Stuffed Squid,Jumbo prawn cocktail,Chicken Biriyani,Lamprais,Chicken Cashew,Watalapam Curry,Stuffed Squid ","Family Feast delights diners with its homely atmosphere and hearty Sri Lankan fare. The seafood delight is a must-try, although some guests advise arriving early for a spacious table. Nevertheless, it remains a beloved spot for family gatherings in Negombo."
